clone_id	n_seq	freq	cum_freq	rank
1	1	0.01	0.01	1
2	1	0.01	0.02	2
3	1	0.01	0.03	3
4	1	0.01	0.04	4
5	1	0.01	0.05	5
6	1	0.01	0.06	6
7	1	0.01	0.07	7
8	1	0.01	0.08	8
9	1	0.01	0.09	9
10	1	0.01	0.1	10
11	1	0.01	0.11	11
12	1	0.01	0.12	12
13	1	0.01	0.13	13
14	1	0.01	0.14	14
15	1	0.01	0.15	15
16	1	0.01	0.16	16
17	1	0.01	0.17	17
18	1	0.01	0.18	18
19	1	0.01	0.19	19
20	1	0.01	0.2	20
21	1	0.01	0.21	21
22	1	0.01	0.22	22
23	1	0.01	0.23	23
24	1	0.01	0.24	24
25	1	0.01	0.25	25
26	1	0.01	0.26	26
27	1	0.01	0.27	27
28	1	0.01	0.28	28
29	1	0.01	0.29	29
30	1	0.01	0.3	30
31	1	0.01	0.31	31
32	1	0.01	0.32	32
33	1	0.01	0.33	33
34	1	0.01	0.34	34
35	1	0.01	0.35000000000000003	35
36	1	0.01	0.36	36
37	1	0.01	0.37	37
38	1	0.01	0.38	38
39	1	0.01	0.39	39
40	1	0.01	0.4	40
41	1	0.01	0.41000000000000003	41
42	1	0.01	0.42	42
43	1	0.01	0.43	43
44	1	0.01	0.44	44
45	1	0.01	0.45	45
46	1	0.01	0.46	46
47	1	0.01	0.47000000000000003	47
48	1	0.01	0.48	48
49	1	0.01	0.49	49
50	1	0.01	0.5	50
51	1	0.01	0.51	51
52	1	0.01	0.52	52
53	1	0.01	0.53	53
54	1	0.01	0.54	54
55	1	0.01	0.55	55
56	1	0.01	0.56	56
57	1	0.01	0.5700000000000001	57
58	1	0.01	0.58	58
59	1	0.01	0.59	59
60	1	0.01	0.6	60
61	1	0.01	0.61	61
62	1	0.01	0.62	62
63	1	0.01	0.63	63
64	1	0.01	0.64	64
65	1	0.01	0.65	65
66	1	0.01	0.66	66
67	1	0.01	0.67	67
68	1	0.01	0.68	68
69	1	0.01	0.6900000000000001	69
70	1	0.01	0.7000000000000001	70
71	1	0.01	0.71	71
72	1	0.01	0.72	72
73	1	0.01	0.73	73
74	1	0.01	0.74	74
75	1	0.01	0.75	75
76	1	0.01	0.76	76
77	1	0.01	0.77	77
78	1	0.01	0.78	78
79	1	0.01	0.79	79
80	1	0.01	0.8	80
81	1	0.01	0.81	81
82	1	0.01	0.8200000000000001	82
83	1	0.01	0.8300000000000001	83
84	1	0.01	0.84	84
85	1	0.01	0.85	85
86	1	0.01	0.86	86
87	1	0.01	0.87	87
88	1	0.01	0.88	88
89	1	0.01	0.89	89
90	1	0.01	0.9	90
91	1	0.01	0.91	91
92	1	0.01	0.92	92
93	1	0.01	0.93	93
94	1	0.01	0.9400000000000001	94
95	1	0.01	0.9500000000000001	95
96	1	0.01	0.96	96
97	1	0.01	0.97	97
98	1	0.01	0.98	98
99	1	0.01	0.99	99
100	1	0.01	1	100
